序号,昵称,视频标题,点赞,评论,分享,商品标题,音乐链接,粉丝量
1,徐咏琪也太好看了吧,#养肤粉底液,5.9w,1620,747,红地球草本粉底液,小奶瓶/DJ YiXiu/虞姬《这可是大人的音乐哦》https://c.y.qq.com/base/fcgi-bin/u?__=Cy0TEwB @QQ音乐,15.8w
2,川大發,号称能养肤的粉底液？！8小时测评结果居然是,3.5w,598,92,红地球草本粉底液,光宗信吉 (みつむね しんきち)《Slapstick》https://c.y.qq.com/base/fcgi-bin/u?__=U9CtEwi @QQ音乐,74.6w
3,乐乐团长,红地球，风太大，现实碰一碰#养肤粉底液,7.2w,6379,1107,红地球草本粉底液,分享Krystal的单曲《Lilly Wood & The Prick-RUA（Krystal remix）》: http://music.163.com/song/1428245291/?userid=1700718534 (来自@网易云音乐),152.1w
4,道上都叫我赤木刚宪,去油高手红地球，你们家可太会了！#养肤粉底液散粉,4.9w,929,182,红地球草本粉底液,Spazzkid、Keith Ape《It G Ma (Spazzkid Bootleg)》https://c.y.qq.com/base/fcgi-bin/u?__=boPFEwx @QQ音乐,613.6w
5,李佳琦Austin,更好的养肤粉底液，猪猪女孩们买它,171.3w,4.5w,6.8w,红地球草本粉底液,百石元 (hyakkoku hajime)《猪突猛進 (勇往直前)》https://c.y.qq.com/base/fcgi-bin/u?__=ZimFEwx @QQ音乐,4368.5w
6,不存在的h,近期购物分享又来了~疯狂购物中,2.2w,458,356,Hedone修容盘,朴宰范 (박재범)/Double K (더블케이)/Boi B (보이비)《REBORN》https://c.y.qq.com/base/fcgi-bin/u?__=UXC6EwT @QQ音乐,36.7w
7,疯大妹YuElly,#Hedone修容 这是条修容视频，虽然是库存hiahia,157,36,1,Hedone修容盘,Future/Drake《Life Is Good (Explicit)》https://c.y.qq.com/base/fcgi-bin/u?__=4jU6Ewz @QQ音乐,1.3w
8,大肚子油油,不会修容的看过来，很详细哦 #修容,1500,154,38,Hedone修容盘,海格P/MoreanP/乐正绫《最后的圣诞节piano.ver》https://c.y.qq.com/base/fcgi-bin/u?__=kEnSEwY @QQ音乐,36.8w
9,柒柒种草所,#好物推荐 #种草 #修容 @电商小助手,5374,353,73,Hedone修容盘,"陈淑婷KelsiChen《Expression, When Nostalgia Came》https://c.y.qq.com/base/fcgi-bin/u?__=IaPSEwq @QQ音乐",16.2w
10,zZ元气酱,修容高光一盘就可，爱爱爱辽#种草,1915,83,10,Hedone修容盘,达多 (달다)《금요병 (周五病)》https://c.y.qq.com/base/fcgi-bin/u?__=VfZSEwt @QQ音乐,10.4w
