'序号,'昵称,'视频ID,'视频标题,'发布时间↓,'点赞↓,'评论↓,'分享↓,'商品标题,商品销量,商品价格,'抖音号,'UID,'视频地址,'商品地址,'粉丝福利,'商品来源,'商品id,'音乐id,,音乐链接
'2,'豆豆_Babe,'6847052653424381197,'猪猪们 夏季清爽的补水喷雾来啦,'2020-07-09 17:00:00,'94549,'2621,'483,'颐莲玻尿酸补水喷雾舒缓保湿爽肤水化妆水定妆喷雾官网正品福瑞达,'60703,'79,'5144228,'53304917615,http://v5-dy-yd.ixigua.com/c5900f3d3c7429379e7ab2135d9243e5/5f09c986/video/tos/cn/tos-cn-ve-15/f99e3ee63832476db055daf765aaf687/?a=1128&br=2772&bt=924&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=ajpkaWg7dXdzdjMzNWkzM0ApNDhoMzRlNWRoNzVkOzk5ZGdzLmEvanNzby9fLS1jLS9zczQyLi9fLzRjYmBeNTUtNWM6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DRWen3Qb0pm1w4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMVp7q%2F0w1Deht4hWD5k2kjOMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrM%2BNGIjTUsFk5SQVr0Ycd8Z4we6%2FtGg2%2FRa39LVkuyq7fYR16Frqer%2F9kYvQZuIwx3YuX%2F7zPoVPxJNmQyjcnE0zJHyeM9OyZWZjrEvdxGL04kOKf%2FcMbosbt%2FpS9ZyrgdXX1Ck0nLCt%2BbvVTt0yFxG6fQBRL0qfPGomfkDJRs%2BhU%3D&union_lens=lensId:TAPI@1594203703@0b84767a_0f0e_1732df2074c_a605@01,'https://uland.taobao.com/ccoupon/edetail?e=L53mkNJyt10GQASttHIRqXQPa%2FjoGyaQCPuYjjV5M5i9h9WI3GtV%2BwVTu0dslSZGjsh80YYZLQufJ%2FXQEpP9ckgLzsc4RDql%2FnNA6NfsJbiBA9I59CpFie%2FDpAZTKJqwT8Wi%2FwpMD0XndQF%2BfRtBUQR5B1bKRFr9kGH6wWCd7AKas34aRsvQrdiGlVXLfx%2BnrOugqOzy%2BV3F8WVlIJ68ANG8w%2FVRcqRKSn4qX%2Brddxias34aRsvQrdl4X1VWjKah4C3EPCxnHp7RNiLAoAqqtg%3D%3D&traceId=0bb623a315942037030747862e0590&union_lens=lensId:TAPI@1594203703@0b84767a_0f0e_1732df2074c_a605@01,'来自淘宝人气：2356781,'533098872301,'6847052789810596621,,Humbert Humbert (ハンバート ハンバート)《桜の木の下で》https://c.y.qq.com/base/fcgi-bin/u?__=UKUZWwb @QQ音乐
'3,'豆豆_Babe,'6846288022342782215,'七月平价好物来啦 都是大家平常总用到的,'2020-07-06 16:54:22,'200174,'7711,'3346,'豆豆 chillmore泠水沐浴露男女香体沐浴液留香300ml,'2553,'49.9,'5144228,'53304917615,http://v5-dy-yd.ixigua.com/ff9c9d22a57b18b6e4832d5f4c9630de/5f09c9cc/video/tos/cn/tos-cn-ve-15/b6ee776109d2461bac0f7ab2b65b119b/?a=1128&br=2928&bt=976&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=am1vb3BxajVodjMzZGkzM0ApPDwzPDU4ZDs1N2Q3aWVpOmdgY3A1NC0yLi5fLS1jLS9zczVeYGFeMi1gNmE0NS82MDQ6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DCIhIiXbxJ5Rw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMXm1DlPo7r%2BYRitN3%2FurF3yMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0Eq6xSATRa2i%2FJcDr0%2FgzNIXPYI9sayr%2BapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1594192541@0b847673_0f5c_1732d47b8de_7c75@01,'https://uland.taobao.com/ccoupon/edetail?e=uJ4rJtYm8Q0E%2BdAb1JoOOog72ujih3BiuqFl46SAX6i9h9WI3GtV%2BwVTu0dslSZGjsh80YYZLQufJ%2FXQEpP9ckgLzsc4RDql%2FnNA6NfsJbiBA9I59CpFie%2FDpAZTKJqwT8Wi%2FwpMD0XndQF%2BfRtBUQR5B1bKRFr9kGH6wWCd7AKas34aRsvQrdiGlVXLfx%2BnrOugqOzy%2BV3F8WVlIJ68ANG8w%2FVRcqRKSn4qX%2Brddxias34aRsvQrdl4X1VWjKahfGV2L3XIMeXchOkkWEfvoA%3D%3D&traceId=0b01f68b15941925418774761e&union_lens=lensId:TAPI@1594192541@0b847673_0f5c_1732d47b8de_7c75@01,'来自淘宝人气：112940,'621494632344,'6846288140299242248,,015B (????)/?? (Nayul)《??? ??? (Hard to Start)》https://c.y.qq.com/base/fcgi-bin/u?__=m6uZWwL @QQ音乐
'4,'豆豆_Babe,'6843710135446113549,'给学生党猪猪们挑了几款平价香水 快来对号入座吧,'2020-06-29 18:10:51,'255376,'6721,'2771,'豆豆 BLACKPAW黑爪夏日限定香水水果香味自然清新持久留香30ml,'21361,'69,'5144228,'53304917615,'http://v5-dy-yd.ixigua.com/74301c6943bd1a959f14cbc511c272d3/5f09c9a9/video/tos/cn/tos-cn-ve-15/f92c8a83abee4c919db99046d40fd6dd/?a=1128&br=2823&bt=941&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=amR2bHAzczh1dTMzaWkzM0ApOjloOGgzMzs2Nzs3ZzpkZGdeZC4vcHBobnBfLS1eLS9zczU1YF4zLzRgYzYuXjEvXzI6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3D%2Baho1Yt0vr9w4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMbLpNK1h1dST8sviUM61dt2MSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm09LTl6LxCJKgJ9LxwZTideg0%2BYuoE%2B31JapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1593425452@0b082a2b_2920_172ff8edfc3_8466@01,','来自淘宝人气：922430,'604803525350,'6843710255508327181,,Caro Emerald《Paris》https://c.y.qq.com/base/fcgi-bin/u?__=JzNxWwV @QQ音乐
'5,'豆豆_Babe,'6838891995302251784,'平价彩妆来啦 今天画了个轻微泰国妆 也不知道像不像,'2020-06-16 18:34:05,'303095,'14649,'4275,'豆豆 尔木萄眼影盘套盒小情书闪粉珠光日常妆平价便携4盘16色,'10049,'89,'5144228,'53304917615,'http://v5-dy-yd.ixigua.com/3045b3a2fffae2ceb0986539102dcebb/5f09c9e5/video/tos/cn/tos-cn-ve-15/226aa8821af945bc88c1a706df0fd60f/?a=1128&br=2460&bt=820&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=anRvbGk2NDM8dTMzNmkzM0ApZWVoN2hkNjxkNzQ6ZTs8OmcuLTEuYmtgcmhfLS0uLS9zczAuYWMzYWJjLS9eY2NeMWA6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3D0Re1l6KO6ohw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMSYpTO6nWPwb8sviUM61dt2MSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58ug64wbR8h8flphO3sqSbbpFapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592304532@0b588f40_50c6_172bcbefcc7_7615@01,','来自淘宝人气：150102,'614617271367,'6838892169521105672,,XYL?《Don't Panic》https://c.y.qq.com/base/fcgi-bin/u?__=iOrxWw3 @QQ音乐
'6,'豆豆_Babe,'6837811637966179597,'猪猪们 去油蓬松的洗发水来啦 我真的爱死这个味道啦,'2020-06-13 20:41:50,'155524,'5599,'1299,'豆豆同款HairRecipe发之食谱无硅水润柔顺无花果苹果姜洗发水护发,'20814,'99.9,'5144228,'53304917615,'http://v5-dy-yd.ixigua.com/c4879e254f6a3d1e68da490ed1e69845/5f09c970/video/tos/cn/tos-cn-ve-15/adeec509c6fb46908e5b448052640bfd/?a=1128&br=3072&bt=1024&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=ajl4NTlkNW5mdTMzO2kzM0ApMzQ5PDhmM2RlN2Q6NzhnPGc1Z3FvZ3BsZWZfLS1eLS9zc2NjLTRiNTUvXjEyNDRfYC86Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DEiPASLay6zdw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMajCLXIgJu7SRitN3%2FurF3yMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMQaGuLO2YeJr8BNVXOLg9MAtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6N3%2FFW4zQLQtgqB2Tdqpa6M0y29cGg%2F%2FwibuYJg80O8pJfDF8hLtONLkQiIYXgiqB393npKgme0atfJmVZ8lw866zeN9GIIRwg%3D&union_lens=lensId:TAPI@1592052111@0b847664_0e8d_172adb358e3_0d9a@01,','来自淘宝人气：275214,'574980412958,'6837811777858702094,,分享FRANKIE的单曲《When I'm Ready》:?http://music.163.com/song/1317494052/?userid=1508029736?(来自@网易云音乐)
'7,'豆豆_Babe,'6837009147540573447,'猪猪们 好用的沐浴好物来啦,'2020-06-11 16:47:47,'215941,'8246,'2422,'豆豆 ukiwi黑糖磨砂膏纽西小精灵麦卢卡蜂蜜清洁毛孔100ml,'7346,'79,'5144228,'53304917615,'http://v5-dy-yd.ixigua.com/f2fe157ebd0012d57d6a9f0872b82f62/5f09c9a2/video/tos/cn/tos-cn-ve-15/ade61c18549b409187f9b2bc07226b8d/?a=1128&br=2844&bt=948&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=amk8a2R1PGl4dTMzOmkzM0ApOTlkOjw7OTwzN2Q8N2ZnaWdsYmhmNGlkcWRfLS01LS9zcy8xLS1eNi0zNi9jYTFhNjY6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3D22DSY4Ufq%2Btw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMRe7aChZWzGUt4hWD5k2kjOMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0u1hwwTZ58uhqwc2DeMCLmXqoWQFRPA6ZapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305334@0b085ca9_6536_172bccb36f4_ae59@01,','来自淘宝人气：78972,'618506192018,'6837009292227283720,,Claire Ridgely《Busy Body》https://c.y.qq.com/base/fcgi-bin/u?__=5o7IWwb @QQ音乐
'8,'豆豆_Babe,'6834801100651007243,'涂抹式面膜 猪猪们自己对号入座,'2020-06-05 17:59:17,'325686,'10254,'6070,'豆豆 韩国VT范特老虎小布丁面膜7.5g*10涂抹清洁黄金蜜玻尿酸,'50109,'99,'5144228,'53304917615,http://v5-dy-yd.ixigua.com/a3baa7dfb9d55a5b332be69b604898b2/5f09c98a/video/tos/cn/tos-cn-ve-15/88500134402e48c5b73ce30d41c45a38/?a=1128&br=2790&bt=930&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=M3VyNzlsdTc0dTMzO2kzM0ApNDo4NmlmZzw4N2ZpNDNlOmdjbm9yM29zNGFfLS0xLS9zczQwLTBhYWExXjNeMzVhYV46Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3Dt1vP09wdQeBw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMZ7q2siP%2F%2B6Nxq3IhSJN6GSMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0UTb46vlzff6ONzK9v0yvpQOIucDQp%2F7kapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592305384@0b017c8c_43a3_172bccbfdec_93b7@01,','来自淘宝人气：352964,'591981840225,'6834801248147917582,,Halie Loren《How to Dismantle a Life》https://c.y.qq.com/base/fcgi-bin/u?__=SKkIWwI @QQ音乐
'9,'豆豆_Babe,'6834063537522953475,'猪猪们 亮白牙膏 终于被我找到啦,'2020-06-03 18:17:10,'227646,'6468,'3092,'李佳琦推荐狮王进口齿力佳酵素美白牙膏去渍清新牙膏去黄牙垢亮白,'88639,'29.6,'5144228,'53304917615,'http://v5-dy-yd.ixigua.com/5890db6b0a20bc51f7661b6c2d0bc96b/5f09c987/video/tos/cn/tos-cn-ve-15/96716ead7097428a8ce70373f9d458fa/?a=1128&br=2619&bt=873&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=amZoOXd4O3ZxdTMzO2kzM0ApZmU1Ozk6ZGQ4Nzo8NDZnNWctX3MxaC5wNV9fLS0vLS9zc2EwNTFgLTBhNl82NGIzMTE6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3DSnBai2dEG81w4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMY40Gl8nBYM%2FRitN3%2FurF3yMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMS%2F4pUi7hqn7SBgdjFjwueIwe6%2FtGg2%2FRa39LVkuyq7fYR16Frqer%2F9kYvQZuIwx3kdP6DSvbQcQNyaCV5evxoI8JSZrL8lyPZjrEvdxGL04kOKf%2FcMbosbt%2FpS9ZyrgdXX1Ck0nLCt%2BbvVTt0yFxG6fQBRL0qfPGomfkDJRs%2BhU%3D&union_lens=lensId:TAPI@1591179431@0b14d138_0e8a_17279af4cc6_56f8@01,','来自淘宝人气：328998,'556831147512,'6834063639721413389,,Minnutes《Pack Up Your Troubles in Your Old Kit Bag》https://c.y.qq.com/base/fcgi-bin/u?__=XHfDWw6 @QQ音乐
'10,'豆豆_Babe,'6831816670261136643,'我盯着你们哦 一定要好好的卸眼妆 跟我同款的请报道,'2020-05-28 16:58:10,'184578,'3922,'590,'美宝莲眼唇卸妆液脸部温和清洁眼唇脸三合一卸妆水官方正品卸妆油,'73792,'118,'5144228,'53304917615,'http://v5-dy-yd.ixigua.com/a2b33b8c1599dee6612169a88da6344e/5f09c98e/video/tos/cn/tos-cn-ve-15/182016bd458f4466976b66c289f583e6/?a=1128&br=3072&bt=1024&cr=3&cs=0&dr=0&ds=6&er=&l=202007112113350100120350840B33DC0D&lr=all&mime_type=video_mp4&qs=0&rc=anVwbnk0NGpxdTMzNWkzM0ApZmc7ZjM0OjwzN2VnNjU3ZWc1NHIvc2VtMDRfLS0vLS9zc2AwY142YGMtYjYtMGAzYmA6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3D8MoNqZicxrZw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMRMFdedTpBDYt4hWD5k2kjOMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMz5%2FOkFdUfhqP7m9mqY6qw4we6%2FtGg2%2FRa39LVkuyq7fYR16Frqer%2F9kYvQZuIwx3iKTuIyls40OUxForHU9gytMtvXBoP%2F8Im7mCYPNDvKSXwxfIS7TjS5EIiGF4Iqgd%2Fd56SoJntGrXyZlWfJcPOus3jfRiCEcI&union_lens=lensId:TAPI@1590656293@0b847692_0e78_1725a80d8bc_4873@01,','来自淘宝人气：77500,'12727688676,'6831816800637192973,,Tommy Ljungberg《Someday》https://c.y.qq.com/base/fcgi-bin/u?__=QoDDWw3 @QQ音乐
'11,'豆豆_Babe,'6831443402492595468,'夏天精致猪猪走起来 穿凉鞋 穿吊带都不怕啦,'2020-05-27 16:50:48,'308924,'10094,'6241,'豆豆 日本foot  medi 足喷足部喷雾手肘膝盖喷雾110ML,'18780,'69,'5144228,'53304917615,'http://v26-dy.ixigua.com/5082764427ae1b078f0f9d586053f8b0/5f09c9cb/video/tos/cn/tos-cn-ve-15/f393a49f8e634cb5a4648fac78ee3464/?a=1128&br=2946&bt=982&cr=3&cs=0&dr=0&ds=6&er=&l=2020071121134101001404720712369733&lr=all&mime_type=video_mp4&qs=0&rc=anRydDs2dWs1dTMzOWkzM0ApZWRoaDo6ZTxoNzVmZ2lmZmdmM2Q2bWVvZDRfLS1jLS9zczZjLjZiLjA2Y2M2YWMwMGM6Yw%3D%3D&vl=&vr=,'https://s.click.taobao.com/t?e=m%3D2%26s%3Dz8zydNpMm%2Flw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMaBkKm96QGYQJ1gyddu7kN%2BMSKbZroYumZTeN%2BvHCM%2BQNQjLCS6C9JV1Qtn6JZlC6yQYRxDRWsrMpjCOhSFhd71u6uUC%2Bfm47QtkyqhBb5%2B4EPtgYSZZAUvNy6VfD8aHxJ6P%2Fjo9mSm0UTb46vlzff6PysOXixNRMJlQkYymFH%2BuapHkuYM1pjmw%2BsAwPecJ0l3Vqs6USYPR9wQ0yWVTxALVXAk4Fj8kDPIQuFRFhL0ixiXvDf8DaRs%3D&union_lens=lensId:TAPI@1592304920@0bba8cf2_161d_172bcc4e885_6321@01,','来自淘宝人气：306622,'592610886106,'6831443817221180168,,分享MOMOLAND的单曲《?? (BBoom BBoom)》:?http://music.163.com/song/526904859/?userid=1508029736?(来自@网易云音乐)
