,type,goods_whole_sale,video_like,video_comment,video_forward,bgm,bpm,genre,language,public_time,attitude,emotion
0,美妆类,9177.0,0.0,0.0,0.0,Old Threads - Deep East Music,161.49902340000003,Pop,纯音乐,2019/5/16,positive,happy
1,美妆类,40.0,0.0,0.0,0.0,四块五 - 王晴音乐,123.046875,blues,国语,2020/2/14,negative,happy
2,美妆类,25000.0,0.0,0.0,0.0,万有引力 - F*yy,95.703125,metal,国语,2012/7/16,positive,happy
3,美妆类,281.0,0.0,0.0,0.0,背对背拥抱 (DJ版) - 谭晓晨、歌者凌风、小可（热曲）,129.1992188,Dance,国语,2020/6/29,,happy
4,美妆类,3400.0,0.0,0.0,0.0,Dance Monkey - Tones And I,99.38401442,blues,纯音乐,2020/2/18,positive,sad
5,美妆类,39000.0,15.0,0.0,0.0,蓝色海黑色河 (DJ版) - 69,129.1992188,hiphop,国语,2020/5/23,positive,happy
6,美妆类,22000.0,0.0,0.0,0.0,Natural - Spice Mangos,107.6660156,rock,,,,happy
7,美妆类,36.0,0.0,0.0,0.0,小宇 (片段) - 蓝心羽,117.4538352,blues,国语,,positive,peaceful
8,美妆类,281.0,0.0,0.0,0.0,背对背拥抱 (DJ版) - 电音老傅,129.1992188,Dance,国语,2020/7/8,,happy
9,美妆类,998.0,0.0,0.0,0.0,MAMAMOO-WIND FLOWER（AKEN Remix） - AKEN,112.3471467,rock,,,negative,happy
10,美妆类,39000.0,170.0,5.0,2.0,雨中的恋人们 (Live片段) - XIN,89.10290948,rock,,,,happy
11,美妆类,10.0,0.0,0.0,0.0,快手刘叉叉背景曲子 - 虞姬、一人众天、7妹吖,129.1992188,hiphop,纯音乐,2020/4/16,positive,happy
12,美妆类,39.0,0.0,0.0,0.0,그런 연애 (那样的恋爱) - J_ust、Ahin,103.359375,hiphop,韩语,,positive,happy
13,美妆类,2714.0,0.0,0.0,0.0,别知己 (三步踩版) - 海来阿木,151.99908090000002,Folk,国语,2019/3/5,positive,happy
14,美妆类,13000.0,0.0,0.0,0.0,奥利给 - ZeroSeven,99.38401442,hiphop,纯音乐,2019/11/27,positive,happy
15,美妆类,208.0,0.0,0.0,0.0,漂洋过海来看你 (Remix) - 刘明湘,129.1992188,hiphop,国语,2019/4/23,positive,happy
16,美妆类,16000.0,0.0,0.0,0.0,Dawn of us - 王嘉尔,95.703125,Pop,英语,2018/4/23,positive,happy
