,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
0,88rising、Phum Viphurit、Higher Brothers - Lover Boy 88,107.666015625,Pop,英语,2018-07-20,positive,happy,0,0,0
1,Austin Mahone、Rich Homie Quan - Send It,99.38401442307692,Pop,英语,2016-08-19,positive,happy,0,0,0
2,Ayo97 _ 周思涵 - 感谢你曾来过,161.4990234375,Pop,国语,2017-02-12,negative,happy,0,0,0
3,Beatrich - Superstar,117.45383522727272,Dance,英语,2017-07-21,positive,happy,0,0,0
4,BEYOND - 不再犹豫,135.99917763157896,Pop,粤语,2015-06-30,negative,happy,0,0,0
5,BEYOND - 情人,71.77734375,Pop,粤语,2001-12-01,positive,happy,0,0,0
6,BEYOND - 海阔天空,75.99954044117645,Pop,粤语,1993-05-01,negative,happy,0,0,0
7,BEYOND - 真的爱你,75.99954044117645,Rock,粤语,1989-07-01,positive,happy,0,0,0
8,BigYear - 看好你的女友,103.359375,Pop,国语,2018-12-30,positive,happy,0,0,0
9,BY2 - 爱丫爱丫,151.9990808823529,Pop,国语,2008-07-23,negative,happy,0,0,0
10,Camila Cabello、Young Thug - Havana,103.359375,Pop,英语,2018-01-12,negative,happy,0,0,0
11,DD打D哒 - 哈尼宝贝（纯净版Remix_DD打D哒 Remix）,129.19921875,pop,,,,happy,0,0,0
12,DJ小鱼儿 - 一生回味一面,95.703125,Pop,国语,2020-03-13,positive,happy,0,0,0
13,Ed Sheeran - Shape of You,129.19921875,Pop,英语,2017-03-03,,happy,0,0,0
14,Fitz & The Tantrums - HandClap,135.99917763157896,Alternative,英语,2016-06-03,positive,happy,0,0,0
15,Freedom Plant Music - Colorful World,112.34714673913044,Pop,国语,2015-10-20,negative,happy,0,0,0
16,G.E.M.邓紫棋 - 我的秘密,103.359375,Pop,国语,2010-10-29,positive,happy,0,0,0
17,Gibb-Z - My hot girl,135.99917763157896,Pop,国语,2016-08-09,positive,happy,0,0,0
18,Gibb-Z、ICE - 陪着你走,83.35433467741936,Pop,国语,2017-08-10,positive,happy,0,0,0
