,Unnamed: 0,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time,美妆类,服装类,电器数码类,文具玩具图书类,食品类,鞋靴箱包饰品类,其他,医药保健类,家装日用类,filename
0,0,88rising、Phum Viphurit、Higher Brothers - Lover Boy 88,107.666015625,Pop,英语,2018-07-20,positive,happy,0,0,0,"[7, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[9, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[12, {'language': 4, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[12, {'language': 4, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[8, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]",88rising、Phum Viphurit、Higher Brothers - Lover Boy 88
1,1,Austin Mahone、Rich Homie Quan - Send It,99.38401442307692,Pop,英语,2016-08-19,positive,happy,0,0,0,"[7, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[9, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[10, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[12, {'language': 4, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[12, {'language': 4, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[8, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]",Austin Mahone、Rich Homie Quan - Send It
2,2,Ayo97 _ 周思涵 - 感谢你曾来过,161.4990234375,Pop,国语,2017-02-12,negative,happy,0,0,0,"[11, {'language': 3, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[9, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[9, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[9, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[9, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[9, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 2, 'attitude': 2}]","[10, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 2, 'attitude': 2}]","[9, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]",Ayo97 _ 周思涵 - 感谢你曾来过
3,3,Beatrich - Superstar,117.45383522727272,Dance,英语,2017-07-21,positive,happy,0,0,0,"[11, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[15, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 4, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[15, {'language': 4, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]","[14, {'language': 3, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 5, 'attitude': 1}]",Beatrich - Superstar
4,4,BEYOND - 不再犹豫,135.99917763157896,Pop,粤语,2015-06-30,negative,happy,0,0,0,"[10, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[9, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 2, 'attitude': 2}]","[8, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 2, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 1, 'attitude': 2}]",BEYOND - 不再犹豫
5,5,BEYOND - 情人,71.77734375,Pop,粤语,2001-12-01,positive,happy,0,0,0,"[9, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 2, 'genre': 1, 'attitude': 1}]","[9, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 2, 'genre': 1, 'attitude': 1}]","[8, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 2, 'genre': 1, 'attitude': 1}]","[8, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 2, 'genre': 1, 'attitude': 1}]","[9, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 2, 'genre': 1, 'attitude': 1}]","[9, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 2, 'genre': 1, 'attitude': 1}]","[11, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 2, 'attitude': 1}]","[11, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 3, 'genre': 2, 'attitude': 1}]","[8, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 2, 'genre': 1, 'attitude': 1}]",BEYOND - 情人
6,6,BEYOND - 海阔天空,75.99954044117645,Pop,粤语,1993-05-01,negative,happy,0,0,0,"[11, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 1, 'attitude': 2}]","[11, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 1, 'attitude': 2}]","[10, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 1, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 3, 'genre': 1, 'attitude': 2}]","[11, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 1, 'attitude': 2}]","[11, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 1, 'attitude': 2}]","[13, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 3, 'genre': 2, 'attitude': 2}]","[11, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 2, 'attitude': 2}]","[10, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 3, 'genre': 1, 'attitude': 2}]",BEYOND - 海阔天空
7,7,BEYOND - 真的爱你,75.99954044117645,Rock,粤语,1989-07-01,positive,happy,0,0,0,"[15, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 5, 'attitude': 1}]","[15, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 5, 'attitude': 1}]","[14, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 5, 'attitude': 1}]","[14, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 3, 'genre': 5, 'attitude': 1}]","[15, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 5, 'attitude': 1}]","[15, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 3, 'genre': 5, 'attitude': 1}]","[16, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 3, 'genre': 5, 'attitude': 1}]","[14, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 5, 'attitude': 1}]","[14, {'language': 2, 'emotion': 1, 'bpm': 1, 'public_time': 3, 'genre': 5, 'attitude': 1}]",BEYOND - 真的爱你
8,8,BigYear - 看好你的女友,103.359375,Pop,国语,2018-12-30,positive,happy,0,0,0,"[9, {'language': 3, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[7, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[8, {'language': 2, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[6, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[7, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[7, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 1, 'genre': 1, 'attitude': 1}]","[9, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[11, {'language': 3, 'emotion': 1, 'bpm': 3, 'public_time': 1, 'genre': 2, 'attitude': 1}]","[6, {'language': 1, 'emotion': 1, 'bpm': 1, 'public_time': 1, 'genre': 1, 'attitude': 1}]",BigYear - 看好你的女友
9,9,BY2 - 爱丫爱丫,151.9990808823529,Pop,国语,2008-07-23,negative,happy,0,0,0,"[12, {'language': 3, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 1, 'attitude': 2}]","[10, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 1, 'attitude': 2}]","[11, {'language': 2, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 1, 'attitude': 2}]","[10, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 1, 'attitude': 2}]","[10, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 1, 'attitude': 2}]","[10, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 1, 'attitude': 2}]","[10, {'language': 1, 'emotion': 1, 'bpm': 2, 'public_time': 2, 'genre': 2, 'attitude': 2}]","[12, {'language': 3, 'emotion': 1, 'bpm': 1, 'public_time': 3, 'genre': 2, 'attitude': 2}]","[10, {'language': 1, 'emotion': 1, 'bpm': 3, 'public_time': 2, 'genre': 1, 'attitude': 2}]",BY2 - 爱丫爱丫
