,Unnamed: 0,video_like,video_forward,video_comment,goods_name,goods_whole_sale,bgm,language,genre,public_time,emotion,filename
0,0,1.3w,398,486,三妹严选TCSJ0809大容量水杯1450ml,5.9万,漂洋过海来看你 (DJ訫明) - DJ,国语,,2017-01-04,happy,漂洋过海来看你 (DJ版)
1,1,920,31,32,三妹严选TCSJ0809大容量水杯1450ml,5.9万,星月糖 (片段) - 黎林添娇,国语,Pop,2020-05-16,peaceful,星月糖 (cover_ 黎林添娇)
2,2,418,10,22,三妹严选TCSJ0809大容量水杯1450ml,5.9万,New Project Vol.3 - DJ,纯音乐,Dance,2019-09-13,happy,New Project Vol.3
3,3,728,27,35,三妹严选TCSJ0809大容量水杯1450ml,5.9万,卜卦 (咚鼓版) - 小猫多鱼,纯音乐,Pop,2020-05-18,happy,啤啤旋律 (片段)
4,4,308,4,12,三妹严选TCSJ0809大容量水杯1450ml,5.9万,牛在飞 - 张冬玲,国语,Pop,2018-01-16,happy,牛在飞
5,5,252,7,16,三妹严选TCSJ0809大容量水杯1450ml,5.9万,你的答案 - 阿冗,国语,Pop,2019-11-01,sad,你的答案
6,6,13.2w,"1,989","4,907",三妹严选TCSJ0809大容量水杯1450ml,5.9万,Back In Black - AC/DC,英语,Rock,1980-07-25,mad,Back In Black
7,7,840,28,33,三妹严选TCSJ0809大容量水杯1450ml,5.9万,口水说唱上头旋律 (Remix) - 寐加岛,国语,Pop,2020-06-20,happy,口水说唱上头旋律 (Remix)
8,8,170,2,5,滑溜溜发膜,3.9万,雨中的恋人们 (Live片段) - XIN,,,,happy,We Will Rock You (Live)
9,9,15,0,0,滑溜溜发膜,3.9万,蓝色海黑色河 (DJ版) - 69,国语,,2020-05-23,happy,蓝色海 黑色河 (DJ版)
10,10,29,0,0,滑溜溜发膜,3.9万,挥着翅膀的女孩 - 王喆,国语,Pop,2003-12-01,happy,容祖儿 - 挥着翅膀的女孩
11,11,7,0,0,滑溜溜发膜,3.9万,失恋阵线联盟 - 草蜢,国语,Pop,1990-10-18,happy,失恋阵线联盟
12,12,46,0,0,滑溜溜发膜,3.9万,妈妈我想你 - 汤潮,国语,Soundtrack,2019-12-06,happy,妈妈我想你
13,13,2.5w,"1,645","2,095",沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,2.1万,惊雷 (改编版片段) - 网络歌手,,,,happy,孤芳自赏 (改编版)
14,14,"2,131",43,94,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,2.1万,糸くり - rikki,日语,,2002-08-21,happy,Into the Pavement (Frederik Olufsen Remix)
15,15,"1,266",68,224,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,2.1万,官方回答 - O.WEN,,,,sad,官方回答 (抖音完整原版)
16,16,"5,259",278,478,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,2.1万,官方回答 - O.WEN,,,,sad,官方回答 (抖音完整原版)
17,17,"1,349",183,56,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,2.1万,官方回答 - O.WEN,,,,sad,官方回答 (抖音完整原版)
18,18,7.5w,400,"5,317",正宗湖南炎陵黄桃锦绣黄桃5斤礼盒装包邮,1.6万,辐射 - 邵彦棚,纯音乐,,2008-11-16,mad,2NE1 - 난 바빠
19,19,1.9w,"3,329",237,凡措夹脖子手动按摩夹颈椎按摩器,"9,382",Into the Pavement (Frederik Olufsen Remix) - Turboweekend,,,,happy,Into the Pavement (Frederik Olufsen Remix)
20,20,44,0,3,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,2.9万,相思 - 紫凌孤君,英语,Alternative,2013-11-11,sad,相思
21,21,61,1,5,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,2.9万,我已经爱上你 (正式版) - 刘旭阳,国语,Pop,2018-07-26,happy,我已经爱上你 (正式版)
22,22,20,0,0,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,2.9万,相思 - 紫凌孤君,国语,,2014-01-01,sad,相思
23,23,13,0,0,儿童连裤袜春秋女童打底裤薄款丝袜子白色夏季练功跳舞专用舞蹈袜,13.4万,你是我拒绝别人的理由 - 赵霏儿,国语,Pop,2019-01-30,happy,你是我拒绝别人的理由 (DJ Candy Extended)
24,24,"4,085",140,276,（韩欧飞）夏季新款彩色字母T 拍一发二(上衣+打底裤）,2.2万,我爱你不问归期 (片段) - 白小白,国语,Pop,2020-04-17,happy,我爱你不问归期
25,25,96,5,2,（韩欧飞）夏季新款彩色字母T 拍一发二(上衣+打底裤）,2.2万,流年兮 - 夏喘喘,其他,,2018-05-19,sad,流年兮
26,26,58,3,1,（韩欧飞）夏季新款彩色字母T 拍一发二(上衣+打底裤）,2.2万,我爱的人 - 小曼,国语,Pop,2019-12-13,peaceful,我爱的人
27,27,7.3w,"1,615","7,875",U.YI蘑菇气垫滋养霜,2.8万,Klamydia Umpitunnelissa - Klamydia,芬兰语,Punk,2007-08-03,mad,Klamydia Umpitunnelissa (Explicit)
28,28,2,0,0,夏季雪纺衫防晒披肩（48 之内发出）,"8,691",真的不容易 - 庄心妍,国语,Pop,2012-12-11,happy,真的不容易
29,29,4,0,0,夏季雪纺衫防晒披肩（48 之内发出）,"8,691",真的不容易 - 庄心妍,国语,Pop,2012-12-11,happy,真的不容易
30,30,9,1,0,夏季雪纺衫防晒披肩（48 之内发出）,"8,691",真的不容易 - 庄心妍,国语,Pop,2012-12-11,happy,真的不容易
31,31,29,4,1,夏季雪纺衫防晒披肩（48 之内发出）,"8,691",真的不容易 - 庄心妍,国语,Pop,2012-12-11,happy,真的不容易
32,32,202,7,8,夏季雪纺衫防晒披肩（48 之内发出）,"8,691",真的不容易 - 庄心妍,国语,Pop,2012-12-11,happy,真的不容易
33,33,3,2,0,夏季雪纺衫防晒披肩（48 之内发出）,"8,691",真的不容易 - 庄心妍,国语,Pop,2012-12-11,happy,真的不容易
34,34,269,1,11,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,"8,370",小黄鸭 (DJ版) - 山河、唐总,纯音乐,Dance,2018-10-23,mad,小黄鸭 (DJ版)
35,35,54,0,1,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,"8,370",军训歌 - 萌萌哒天团,国语,Pop,2015-08-26,happy,军训歌
36,36,23,0,1,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,"8,370",布谷鸟 - 安子与九妹,,,,happy,布谷鸟 (cover：安子与九妹)
37,37,32,0,1,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,"8,370",最火小黄鸭 - 沈梦逸,其他,Pop,2018-10-19,mad,最火小黄鸭
38,38,16,0,1,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,"8,370",Romeo's Tune - Pajaro Sunrise,英语,Folk,2006-01-01,mad,Pajaro Sunrise - Romeo's Tune
39,39,42,1,1,卡通摩托车按压式网红小黄鸭回力小车鸭子小黄车玩具,"8,370",布谷鸟 - 安子与九妹,,,,happy,布谷鸟 (cover：安子与九妹)
40,40,18.2w,636,"2,581",儿童马克笔套装 48色双头油性绘画笔,2.8万,鬼火の童・鬼切、虎徹にございます! - 増田俊郎,纯音乐,Soundtrack,2013-02-20,mad,鬼火の童・鬼切、虎徹にございます! (我们是鬼火童子鬼切、虎彻！)
41,41,2.6w,197,195,儿童马克笔套装 48色双头油性绘画笔,2.8万,鬼火の童・鬼切、虎徹にございます! - 増田俊郎,纯音乐,Soundtrack,2013-02-20,mad,鬼火の童・鬼切、虎徹にございます! (我们是鬼火童子鬼切、虎彻！)
42,42,1.2w,60,122,儿童马克笔套装 48色双头油性绘画笔,2.8万,鬼火の童・鬼切、虎徹にございます! - 増田俊郎,纯音乐,Soundtrack,2013-02-20,mad,鬼火の童・鬼切、虎徹にございます! (我们是鬼火童子鬼切、虎彻！)
