,Column1,Unnamed: 0,Unnamed: 0.1,goods_name,type,similarity,goods_whole_sale,video_like,video_comment,video_forward,bgm,language,genre,public_time,emotion,filename,bpm
0,0,0,0,三妹严选TCSJ0809大容量水杯1450ml,家装日用类,1.0,5.9万,1.3w,486.0,398.0,漂洋过海来看你 (DJ訫明) - DJ,国语,,2017/1/4,happy,漂洋过海来看你 (DJ版),129.1992188
1,1,1,1,三妹严选TCSJ0809大容量水杯1450ml,家装日用类,1.0,5.9万,920,32.0,31.0,星月糖 (片段) - 黎林添娇,国语,Pop,2020/5/16,peaceful,星月糖 (cover_ 黎林添娇),95.703125
2,2,2,2,三妹严选TCSJ0809大容量水杯1450ml,家装日用类,1.0,5.9万,418,22.0,10.0,New Project Vol.3 - DJ,纯音乐,Dance,2019/9/13,happy,New Project Vol.3,129.1992188
3,3,3,3,三妹严选TCSJ0809大容量水杯1450ml,家装日用类,1.0,5.9万,728,35.0,27.0,卜卦 (咚鼓版) - 小猫多鱼,纯音乐,Pop,2020/5/18,happy,啤啤旋律 (片段),129.1992188
4,4,4,4,三妹严选TCSJ0809大容量水杯1450ml,家装日用类,1.0,5.9万,308,12.0,4.0,牛在飞 - 张冬玲,国语,Pop,2018/1/16,happy,牛在飞,117.4538352
5,5,5,5,三妹严选TCSJ0809大容量水杯1450ml,家装日用类,1.0,5.9万,252,16.0,7.0,你的答案 - 阿冗,国语,Pop,2019/11/1,sad,你的答案,89.10290948
6,6,6,6,三妹严选TCSJ0809大容量水杯1450ml,家装日用类,1.0,5.9万,13.2w,4907.0,1989.0,Back In Black - AC/DC,英语,Rock,1980/7/25,mad,Back In Black,92.28515625
7,7,7,7,三妹严选TCSJ0809大容量水杯1450ml,家装日用类,1.0,5.9万,840,33.0,28.0,口水说唱上头旋律 (Remix) - 寐加岛,国语,Pop,2020/6/20,happy,口水说唱上头旋律 (Remix),129.1992188
8,8,8,8,滑溜溜发膜,美妆类,1.0,3.9万,170,5.0,2.0,雨中的恋人们 (Live片段) - XIN,,,,happy,We Will Rock You (Live),89.10290948
9,9,9,9,滑溜溜发膜,美妆类,1.0,3.9万,15,0.0,0.0,蓝色海黑色河 (DJ版) - 69,国语,,2020/5/23,happy,蓝色海 黑色河 (DJ版),129.1992188
10,10,10,10,滑溜溜发膜,美妆类,1.0,3.9万,29,0.0,0.0,挥着翅膀的女孩 - 王喆,国语,Pop,2003/12/1,happy,容祖儿 - 挥着翅膀的女孩,80.74951172
11,11,11,11,滑溜溜发膜,美妆类,1.0,3.9万,7,0.0,0.0,失恋阵线联盟 - 草蜢,国语,Pop,1990/10/18,happy,失恋阵线联盟,129.1992188
12,12,12,12,滑溜溜发膜,美妆类,1.0,3.9万,46,0.0,0.0,妈妈我想你 - 汤潮,国语,Soundtrack,2019/12/6,happy,妈妈我想你,135.9991776
13,13,13,13,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,文具玩具图书类,1.0,2.1万,2.5w,2095.0,1645.0,惊雷 (改编版片段) - 网络歌手,,,,happy,孤芳自赏 (改编版),86.1328125
14,14,14,14,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,文具玩具图书类,1.0,2.1万,"2,131",94.0,43.0,糸くり - rikki,日语,,2002/8/21,happy,Into the Pavement (Frederik Olufsen Remix),143.5546875
15,15,15,15,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,文具玩具图书类,1.0,2.1万,"1,266",224.0,68.0,官方回答 - O.WEN,,,,sad,官方回答 (抖音完整原版),99.38401442
16,16,16,16,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,文具玩具图书类,1.0,2.1万,"5,259",478.0,278.0,官方回答 - O.WEN,,,,sad,官方回答 (抖音完整原版),99.38401442
17,17,17,17,沙雕复读鸭电动毛绒玩具充电唱歌点头录音学说话吉雅图复读,文具玩具图书类,1.0,2.1万,"1,349",56.0,183.0,官方回答 - O.WEN,,,,sad,官方回答 (抖音完整原版),99.38401442
18,18,18,18,正宗湖南炎陵黄桃锦绣黄桃5斤礼盒装包邮,食品类,1.0,1.6万,7.5w,5317.0,400.0,辐射 - 邵彦棚,纯音乐,,2008/11/16,mad,2NE1 - 난 바빠,129.1992188
19,19,19,19,凡措夹脖子手动按摩夹颈椎按摩器,医药保健类,1.0,"9,382",1.9w,237.0,3329.0,Into the Pavement (Frederik Olufsen Remix) - Turboweekend,,,,happy,Into the Pavement (Frederik Olufsen Remix),143.5546875
20,20,20,20,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,鞋靴箱包饰品类,1.0,2.9万,44,3.0,0.0,相思 - 紫凌孤君,英语,Alternative,2013/11/11,sad,相思,99.38401442
21,21,21,21,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,鞋靴箱包饰品类,1.0,2.9万,61,5.0,1.0,我已经爱上你 (正式版) - 刘旭阳,国语,Pop,2018/7/26,happy,我已经爱上你 (正式版),89.10290948
22,22,22,22,【50根】黑色打结发绳发圈红豆小樱桃头绳橡皮筋高弹力三股发饰,鞋靴箱包饰品类,1.0,2.9万,20,0.0,0.0,相思 - 紫凌孤君,国语,,2014/1/1,sad,相思,99.38401442
23,23,23,23,儿童连裤袜春秋女童打底裤薄款丝袜子白色夏季练功跳舞专用舞蹈袜,服装类,0.99999994,13.4万,13,0.0,0.0,你是我拒绝别人的理由 - 赵霏儿,国语,Pop,2019/1/30,happy,你是我拒绝别人的理由 (DJ Candy Extended),129.1992188
