,filename,genre
0,隔壁阿超 - 四块五的妞,
1,Tones And I - Dance Monkey,
2,蓝色海 黑色河 (DJ版),
3,Bob Marley & The Wailers - Small Axe (Paul & Price Remix),
4,蓝心羽 - 123木头人 (片段),
5,MAMAMOO - Wind flower,
6,We Will Rock You (Live),
7,ZeroSeven - 奥利给,
8,刘明湘 - 漂洋过海来看你 (Remix),
9,Shooting Flight,
10,我喜欢的人总是有女朋友,
11,佛系少女,
12,普通女孩,
13,我已经爱上你 (正式版),
14,"Itzhak Perlman - 24 Caprices, Op.1_ No. 2 in B Minor",
15,3Film Festival ～Consultation～ (口白),
16,Someday,
17,Akon - Right Now (Na Na Na),
18,告白 (原唱_沈以诚),
19,100 Ways (MK Remix),
20,When You Left Me 02,
21,Fallout 4 Main Theme,
22,桜の木の下で,
23,Yellow (Yellow) (原唱_有機酸),
24,grass_harvest,
25,SAD! & XO Tour Life (COVER),
26,BBOOM BBOOM (BBOOMBBOOM),
27,动物园里的大象与河马幸福的生活在了一起,
28,小朋友她现在不想谈恋爱 (Live),
29,7895,
30,别再问我什么是迪斯科（翻自 新裤子）,
31,Ingrid Michaelson - Everybody,
32,桃花笑 (cover_ 汪睿),
33,最后的圣诞节piano.ver,
34,Life Is Good (Explicit),
35,REBORN (セリver.),
36,It G Ma (Spazzkid Bootleg),
37,"Prayer in C(Originally Performed By Lilly Wood & The Prick And Robin Schulz, Instrumental Version)",
38,wonderful u（抖音片段） (原唱_ AGA),
39,wonderful u（抖音片段） (原唱_ AGA),
40,wonderful u（抖音片段） (原唱_ AGA),
41,Aku Suka Body Mama Muda (抖音热搜版),
42,Aku Suka Body Mama Muda (抖音热搜版),
43,Aku Suka Body Mama Muda (抖音热搜版),
44,爱的魔法(1),
45,Melody Remix,
46,We Will Rock You (Live),
47,Barbara Lexa und Rupert Frank - Da Froschkini,
48,Luh Kel - Pull Up (Explicit),
49,Nine Treasures - Tes River's Hymn,
50,王英涛 - 紫霞仙子 (露娜),
51,李奕遐 - 那时正好 (女生版),
52,りりあ - september调子はどうだい (片段),
53,金莎 - 爱的魔法,
54,阿悠悠 - 旧梦一场 (DJ沈念版),
55,刘若英 - 后来,
56,纯音乐 - 雨碎江南 (琵琶版),
57,Masque_Jupiter - 千本樱 (钢琴版),
58,海来阿木 - 你的万水千山 (DJ沈念版),
59,69、DJ蒋先生、虞姬、多多 - 热门旋律 (DJ完整版),
60,李有诗 - 胖子多棒 (片段),
61,庄心妍 - 捉泥鳅 (Live),
62,音阙诗听、流芒菌 - 一寒辞,
63,李玉刚 - 水墨丹青 (Live),
64,承利 - 热火斯卡拉 (DJ版),
65,SEVENTEEN - 울고 싶지 않아 (Don't Wanna Cry) (不想哭 (Live),
66,E.VN艺玮 - 群星-巴塞哦+大大大+857+Right on time 合集 mash up (remix),
67,Hailey Rowe - My Boyfriend Is Gay,
68,69 - 攀娘举牌 (DJ版),
69,大石桥联盟 - 浪子回头 (改编版),
70,小阿七 - 点歌的人 (片段),
71,八三夭 - 想见你想见你想见你,
72,SEVENTEEN - 울고 싶지 않아 (Don't Wanna Cry) (不想哭 (Live),
73,DJ - 感谢缘分让我们相遇 (片段),
74,艾丽娅琪琪格 - 花都开了你来不来 (DJ何鹏版),
75,德惠他宝哥 - 妹妹你等着我 (DJ何鹏版),
76,阿悠悠 - 旧梦一场 (DJ沈念版),
77,小阿枫 - 胆小鬼 (片段),
78,吉他的天空 - 爱情里没有谁对谁错 (Live片段),
79,Bad Style - Time Back (钢琴版),
80,伍佰&China Blue - 再度重相逢 (中四版),
81,司徒兰芳 - 凤凰展翅 (DJ小黑版),
82,小张、亮仔 - 洪荒之力 (改版),
83,Blonde Redhead - For the Damaged Coda,
84,小阿七 - 情深深雨濛濛 (片段),
85,嘉琪先生 - 孤芳自赏 (改编版),
