,title,type,similarity,duration,sale,date,bgm,language,genre,public_time
0,遇佳人180X90防晒丝巾2,美妆,1.0,32,2089,2020/7/3 12:53,不是所有人都会值得等 - 一只舟,国语,Pop,2018-11-04
1,爱唯依 Elsissi2020夏季新款日系棉麻拼接蕾丝中袖衬衫衬衣 705,服装,0.70710677,7,210,2020/7/3 12:54,여행  - 未知,韩语,Pop,2018-05-24
2,妙招姐 100W高品质热熔胶枪+乳白色特粘胶棒 包邮,文具,0.70710677,169,6870,2020/7/3 13:01,追梦人 - 纯音乐,国语,Pop,2003-09-01
3,手工麻绳纳底布鞋,服装,1.0,15,1870,2020/7/3 13:02,18 Mne Uzhe (重置版) - ai8,纯音乐,,2019-11-14
4,629款裤子（5天发货）,服装,1.0,7,3950,2020/7/3 13:03,赤伶 - 等什么君,国语,Pop,2018-09-27
5,车后视镜防雨膜防水防止雾气凝结驱水膜保证行车安全,运动,0.70710677,30,889,2020/7/3 13:04,Jhak maar ke - 虞姬、圈妹,纯音乐,Pop,2013-03-18
6,下水槽厨房置物架可抽拉式落地多层收纳储物架卫生间用品家用大全,家装,0.6099686,27,418,2020/7/3 13:04,墨尔本的翡翠 (Live片段) - 车厘子的车车,粤语,Pop,2003-08-01
7,咪偲图品牌女装2020夏季新品清新（裙长92）短款SYXR-48款,服装,1.0,12,43,2020/7/3 13:05,DDU-DU DDU-DU (Japanese Ver.) - BLACKPINK,英语,Rap/HipHop,2020-06-19
8,2020夏季新款大码女装文艺复古芝麻数码花V领手工盘扣裙衫9243,数码,1.0,15,41,2020/7/3 13:05,成都 - 李雨婷,国语,Folk,2016-12-21
9,懒猪毛绒玩具抱枕,玩具,0.81649655,8,299,2020/7/3 13:06,超级喜欢你 - 金南玲、李俊佑,国语,Pop,2018-04-28
10,纯手工剁辣椒 湖南特产剁椒酱农家自制手工辣椒酱下饭菜老坛剁椒,食品,1.0,46,16,2020/7/3 13:07,卡农 (浪潮版) - 未知,纯音乐,Children,2019-10-06
11,【博集官方直营】罪全书（套装全7册） 蜘蛛著 ,图书,0.70710677,37,53,2020/7/3 13:07,Hello Zepp - Charlie Clouser,纯音乐,Soundtrack,2004-10-05
12,VOA100支羊毛印花围巾PH8,饰品,1.0,8,75,2020/7/3 13:08,遇见 - 孙燕姿,国语,Pop,2003-08-22
13,小鱼鱼新款2020夏季女装衬衫时尚洋气后系带雪纺上衣圆领短袖T恤,服装,0.477937,8,60,2020/7/3 13:08,野狼disco - 很美味,国语,Rap/HipHop,2019-09-02
14,铜耳环F091,饰品,1.0,27,206,2020/7/3 13:09,哦哈哟欧尼酱 - 赵梓婷,纯音乐,Dance,2020-06-23
15,祥祯福 石榴石圆珠多圈手串女士手链多规格包邮,饰品,0.70710677,23,1650,2020/7/3 13:10,Peters Rettungsschirm-Auftrag - Gernot Kulis,,,
16,我是卡卡1995新款露背长裙,服装,1.0,5,30,2020/7/3 13:12,Pop It In 2 - MADE IN HEIGHTS,英语,Pop,2017-03-06
17,xfh三角哈衣爬爬服网红夏装,服装,1.0,10,5040,2020/7/3 13:15,阳光彩虹小白马 - 大张伟,国语,Pop,2018-05-18
18,五季家大码胖mm连衣裙夏季新款洋气收腰泡泡袖修身改良旗袍裙女,服装,0.86243534,14,281,2020/7/3 13:15,我的天空 - 刘至佳,国语,Soundtrack,2013-06-14
19,衣品乐欧洲站新款宽松拼接假两件运动风连衣裙大码胖妹妹mm女装夏,运动,1.0,12,3302,2020/7/3 13:17,百花香 - 魏新雨,国语,,2019-09-26
20,【欣怡专享】SDK 可调节七合一学步滑板车mxy,运动,1.0,9,31,2020/7/3 13:17,天之大 - 童雅路,国语,Pop,2020-04-25
21,偷吃奶油 熊猫印花白色短袖T恤男女2020夏季新款宽松ins情侣上衣,服装,0.5206558,8,30,2020/7/3 13:18,即兴freestyle (Live) - 颜人中、Tizzy T、艾福杰尼、余佳运、Vinida万妮达,,,
22,开学礼物 PILOT百乐 V5考试针管水笔 BX-V5系列水性笔,图书,1.0,10,41000,2020/7/3 13:19,没有喝够 - 门小强,国语,Pop,2019-01-07
23,素衣客2020新款夏季A版改良旗袍印花中国风连衣裙旗袍纯棉,服装,0.77330744,20,31,2020/7/3 13:20,동거 - 秋天假期,韩语,Pop,2010-10-07
24,JULY SL【视频同款白色长裤】裤型好到爆垂顺显瘦高腰直筒阔腿裤,服装,0.7694780999999999,54,96,2020/7/3 13:21,只要为你活一天 - 黄英华,纯音乐,Soundtrack,2004-12-17
25,罗伟明家辣椒酱湖南香辣味特产下饭拌面拌饭菜210g*2,食品,1.0,52,5150,2020/7/3 13:21,Big Big World - Michael Cramtu,英语,Pop,1998-01-01
26,澜雅丝 酒店餐厅餐巾布布艺家装饰品 全棉折花口布西餐巾简约单色,家装,1.0,49,15,2020/7/3 13:29,恋愛サーキュレーション (恋爱循环)(Live) - 花澤香菜,,,
27,鑫韵黄金戒指情侣款,饰品,0.70710677,7,48,2020/7/3 13:32,赤伶+人间城 (抖音DJ版) - 涛少君,日语,,2019-04-11
