,bgm,bpm,genre,language,public_time,emotion,mood,match,like_time,unlike_time
0,0,90,,英语,old,peaceful,negative,1,0,0
1,1,83,R&B,国语,,sad,positive,1,0,0
2,2,137,soundtrack,其他,new,peaceful,positive,1,0,0
3,3,125,soundtrack,其他,,sad,positive,1,0,0
4,4,82,,,old,happy,positive,1,0,0
5,5,80,soundtrack,其他,old,peaceful,negative,1,0,0
6,6,126,R&B,韩语,,peaceful,negative,1,0,0
7,7,102,soundtrack,国语,,sad,negative,1,0,0
8,8,142,dance,韩语,new,mad,negative,1,0,0
9,9,124,dance,,old,sad,positive,1,0,0
10,10,60,jazz,英语,old,sad,negative,1,0,0
11,11,72,pop,,new,mad,negative,1,0,0
12,12,110,soundtrack,日语,new,sad,positive,1,0,0
13,13,129,R&B,日语,new,peaceful,positive,1,0,0
14,14,111,soundtrack,其他,new,happy,negative,1,0,0
15,15,118,jazz,国语,,happy,positive,1,0,0
16,16,91,jazz,韩语,,mad,negative,1,0,0
17,17,130,pop,国语,new,peaceful,negative,1,0,0
18,18,138,,,,sad,positive,1,0,0
19,19,68,soundtrack,日语,old,mad,positive,1,0,0
20,20,144,soundtrack,,new,happy,negative,1,0,0
21,21,108,pop,韩语,,peaceful,negative,1,0,0
22,22,123,jazz,国语,,sad,negative,1,0,0
23,23,99,pop,韩语,,peaceful,positive,1,0,0
24,24,64,soundtrack,韩语,,peaceful,positive,1,0,0
25,25,103,soundtrack,国语,old,sad,positive,1,0,0
26,26,133,,韩语,,happy,positive,1,0,0
27,27,93,dance,其他,,peaceful,positive,1,0,0
28,28,64,,英语,old,mad,positive,1,0,0
29,29,100,pop,,,sad,positive,1,0,0
30,30,81,,,new,sad,positive,1,0,0
31,31,79,dance,国语,,mad,negative,1,0,0
32,32,120,dance,,old,happy,negative,1,0,0
33,33,93,soundtrack,日语,,happy,negative,1,0,0
34,34,120,dance,韩语,new,happy,positive,1,0,0
35,35,142,soundtrack,国语,,peaceful,positive,1,0,0
36,36,98,R&B,国语,old,peaceful,positive,1,0,0
37,37,122,soundtrack,韩语,old,mad,positive,1,0,0
38,38,78,dance,其他,,sad,positive,1,0,0
39,39,89,dance,其他,,mad,negative,1,0,0
40,40,134,jazz,韩语,new,happy,negative,1,0,0
41,41,122,R&B,其他,old,peaceful,positive,1,0,0
42,42,72,jazz,韩语,,sad,positive,1,0,0
43,43,68,R&B,韩语,,mad,negative,1,0,0
44,44,130,soundtrack,国语,old,peaceful,positive,1,0,0
45,45,112,R&B,,new,mad,negative,1,0,0
46,46,103,dance,韩语,new,happy,positive,1,0,0
47,47,66,jazz,日语,,peaceful,positive,1,0,0
48,48,62,jazz,其他,new,mad,negative,1,0,0
49,49,79,soundtrack,其他,,mad,negative,1,0,0
50,50,139,dance,国语,old,peaceful,negative,1,0,0
51,51,121,R&B,英语,new,happy,positive,1,0,0
52,52,128,pop,,,sad,negative,1,0,0
53,53,124,,,old,peaceful,negative,1,0,0
54,54,124,jazz,,old,peaceful,negative,1,0,0
55,55,88,soundtrack,日语,new,sad,negative,1,0,0
56,56,112,dance,英语,new,sad,positive,1,0,0
57,57,82,soundtrack,国语,old,sad,negative,1,0,0
58,58,93,,国语,old,happy,positive,1,0,0
59,59,130,soundtrack,,old,sad,negative,1,0,0
60,60,79,soundtrack,日语,new,peaceful,positive,1,0,0
61,61,100,R&B,,old,happy,positive,1,0,0
62,62,86,dance,其他,,happy,positive,1,0,0
63,63,73,dance,,,peaceful,negative,1,0,0
64,64,109,dance,其他,,sad,negative,1,0,0
65,65,129,dance,其他,new,sad,positive,1,0,0
66,66,80,pop,,,mad,negative,1,0,0
67,67,131,pop,,new,sad,positive,1,0,0
68,68,147,jazz,日语,,sad,negative,1,0,0
69,69,90,R&B,国语,new,peaceful,negative,1,0,0
70,70,87,jazz,其他,old,happy,negative,1,0,0
71,71,69,,其他,new,mad,negative,1,0,0
72,72,120,R&B,日语,old,happy,negative,1,0,0
73,73,107,R&B,英语,new,peaceful,negative,1,0,0
74,74,148,soundtrack,其他,old,happy,negative,1,0,0
75,75,118,pop,,old,happy,negative,1,0,0
76,76,135,R&B,韩语,new,peaceful,negative,1,0,0
77,77,147,,,,happy,positive,1,0,0
78,78,66,R&B,日语,,sad,negative,1,0,0
79,79,112,dance,其他,,happy,positive,1,0,0
80,80,139,jazz,日语,new,peaceful,positive,1,0,0
81,81,112,,英语,,happy,positive,1,0,0
