,filename,mood,positive_rate,negative_rate,verb,noun,adjective
0,NJU Documents\抖音数据分析ppt\歌词\123木头人 (片段).txt,negative,0.4093,0.5907,47,22,10
1,NJU Documents\抖音数据分析ppt\歌词\18 Mne Uzhe (重置版).txt,positive,0.9932,0.0067,4,2,1
2,NJU Documents\抖音数据分析ppt\歌词\1967.txt,positive,0.9932,0.0067,4,2,1
3,NJU Documents\抖音数据分析ppt\歌词\1초 만에 만나는 방법 (1秒内见面的方法).txt,positive,0.7616,0.2383,1,1,0
4,NJU Documents\抖音数据分析ppt\歌词\1초 만에 만나는 방법.txt,positive,0.7616,0.2383,1,1,0
5,NJU Documents\抖音数据分析ppt\歌词\5年了依然喜欢听电音 (DJ版).txt,positive,0.8287,0.1712,3,2,0
6,NJU Documents\抖音数据分析ppt\歌词\AI (纯音乐).txt,positive,0.9932,0.0067,4,2,1
7,NJU Documents\抖音数据分析ppt\歌词\Ain't No Stoppin' Us Now.txt,negative,0.5,0.5,0,0,0
8,NJU Documents\抖音数据分析ppt\歌词\And The Winner Is.txt,negative,0.4476,0.5523,2,0,0
9,NJU Documents\抖音数据分析ppt\歌词\Another Day.txt,positive,0.6147,0.3852,0,1,0
10,NJU Documents\抖音数据分析ppt\歌词\As Long As You Love Me (Acoustic).txt,negative,0.5,0.5,0,0,0
11,NJU Documents\抖音数据分析ppt\歌词\As Long As You Love Me.txt,positive,0.8386,0.1613,1,0,0
12,NJU Documents\抖音数据分析ppt\歌词\Battle Without Honor Or Humanity.txt,positive,0.9932,0.0067,4,2,1
13,NJU Documents\抖音数据分析ppt\歌词\Be Your Sun (DJ版).txt,positive,0.9932,0.0067,4,2,1
14,NJU Documents\抖音数据分析ppt\歌词\Be Your Sun.txt,positive,0.9932,0.0067,4,2,1
15,NJU Documents\抖音数据分析ppt\歌词\Beautiful Now.txt,positive,0.9724,0.0275,0,0,0
16,NJU Documents\抖音数据分析ppt\歌词\Better Now (Simon de Wit Cover).txt,negative,0.5,0.5,0,0,0
17,NJU Documents\抖音数据分析ppt\歌词\Betty Boop.txt,negative,0.5,0.5,0,0,0
18,NJU Documents\抖音数据分析ppt\歌词\Big Big World.txt,negative,0.4476,0.5523,0,1,0
19,NJU Documents\抖音数据分析ppt\歌词\Blue Sky.txt,negative,0.5,0.5,0,0,0
20,NJU Documents\抖音数据分析ppt\歌词\Boys.txt,positive,0.8349,0.1650,0,0,1
21,NJU Documents\抖音数据分析ppt\歌词\Breath.txt,positive,0.9990,0.0009,5,1,0
22,NJU Documents\抖音数据分析ppt\歌词\Buttercup.txt,negative,0.5,0.5,0,0,0
23,NJU Documents\抖音数据分析ppt\歌词\Cooking.txt,positive,0.9932,0.0067,4,2,1
24,NJU Documents\抖音数据分析ppt\歌词\Dance Monkey.txt,positive,0.9932,0.0067,4,2,1
25,NJU Documents\抖音数据分析ppt\歌词\Dancing Butterflies.txt,positive,0.9932,0.0067,4,2,1
26,NJU Documents\抖音数据分析ppt\歌词\Dancing With Your Ghost.txt,negative,0.5,0.5,0,0,0
27,NJU Documents\抖音数据分析ppt\歌词\Dawn of us.txt,positive,0.9893,0.0106,0,1,0
28,NJU Documents\抖音数据分析ppt\歌词\despair.txt,positive,0.9932,0.0067,4,2,1
29,NJU Documents\抖音数据分析ppt\歌词\Don't Go (Giving Your Love Away Live).txt,negative,0.5,0.5,0,0,0
30,NJU Documents\抖音数据分析ppt\歌词\Don't Play.txt,positive,0.9999,3.1210,110,30,10
31,NJU Documents\抖音数据分析ppt\歌词\Don't Stay Away for Too Long.txt,negative,0.5,0.5,0,0,0
32,NJU Documents\抖音数据分析ppt\歌词\EA7硬曲 (Remix).txt,positive,0.9932,0.0067,4,2,1
33,NJU Documents\抖音数据分析ppt\歌词\Early Morning Dreams (Kled Mone Remix).txt,negative,0.5,0.5,0,0,0
34,NJU Documents\抖音数据分析ppt\歌词\Earthquake (Jason.c Extended Mix).txt,positive,0.9932,0.0067,4,2,1
35,NJU Documents\抖音数据分析ppt\歌词\Ever Eternity.txt,positive,0.9932,0.0067,4,2,1
36,NJU Documents\抖音数据分析ppt\歌词\Fade.txt,positive,0.9932,0.0067,4,2,1
37,NJU Documents\抖音数据分析ppt\歌词\Falling for U.txt,positive,0.5865,0.4135,1,0,0
38,NJU Documents\抖音数据分析ppt\歌词\Fashion (Explicit).txt,positive,0.6147,0.3852,0,1,0
39,NJU Documents\抖音数据分析ppt\歌词\Fashion.txt,positive,0.8385,0.1614,0,1,0
40,NJU Documents\抖音数据分析ppt\歌词\Foot Of The Mountain.txt,negative,0.4476,0.5523,0,0,0
41,NJU Documents\抖音数据分析ppt\歌词\For the Damaged Coda.txt,positive,0.9932,0.0067,4,2,1
42,NJU Documents\抖音数据分析ppt\歌词\Ghost.txt,positive,0.5678,0.4321,0,0,0
43,NJU Documents\抖音数据分析ppt\歌词\Happy Ending.txt,positive,0.9104,0.0895,0,0,0
44,NJU Documents\抖音数据分析ppt\歌词\Hawai 5.0.txt,positive,0.9932,0.0067,4,2,1
45,NJU Documents\抖音数据分析ppt\歌词\Heartbreak Hotel.txt,negative,0.5,0.5,0,0,0
46,NJU Documents\抖音数据分析ppt\歌词\Hello Zepp.txt,positive,0.9932,0.0067,4,2,1
47,NJU Documents\抖音数据分析ppt\歌词\High Emotions.txt,positive,0.9932,0.0067,4,2,1
48,NJU Documents\抖音数据分析ppt\歌词\Homage.txt,negative,0.5,0.5,0,0,0
49,NJU Documents\抖音数据分析ppt\歌词\Hopeful Hearts.txt,positive,0.9932,0.0067,4,2,1
50,NJU Documents\抖音数据分析ppt\歌词\How You Like That.txt,positive,0.5639,0.4360,0,1,0
51,NJU Documents\抖音数据分析ppt\歌词\Hyper Confirmed.txt,positive,0.6147,0.3852,0,1,0
52,NJU Documents\抖音数据分析ppt\歌词\I Love You.txt,positive,0.9873,0.0126,1,0,0
53,NJU Documents\抖音数据分析ppt\歌词\If.txt,negative,0.2878,0.7121,1,0,0
54,NJU Documents\抖音数据分析ppt\歌词\iKO.txt,negative,0.5,0.5,0,0,0
55,NJU Documents\抖音数据分析ppt\歌词\Illusionary Daytime.txt,positive,0.9932,0.0067,4,2,1
56,NJU Documents\抖音数据分析ppt\歌词\In The End.txt,positive,0.8311,0.1688,1,1,0
57,NJU Documents\抖音数据分析ppt\歌词\Jhak maar ke (抖音完整原版).txt,positive,0.9932,0.0067,4,2,1
58,NJU Documents\抖音数据分析ppt\歌词\Jhak maar ke.txt,positive,0.9932,0.0067,4,2,1
59,NJU Documents\抖音数据分析ppt\歌词\Journey.txt,positive,0.9932,0.0067,4,2,1
60,NJU Documents\抖音数据分析ppt\歌词\Kalinka (高潮版).txt,positive,0.9703,0.0296,0,2,0
61,NJU Documents\抖音数据分析ppt\歌词\Kimi No Toriko (抖音完整原版).txt,positive,0.9932,0.0067,4,2,1
62,NJU Documents\抖音数据分析ppt\歌词\La Banda.txt,negative,0.5,0.5,0,0,0
63,NJU Documents\抖音数据分析ppt\歌词\Larg.txt,negative,0.5,0.5,0,0,0
64,NJU Documents\抖音数据分析ppt\歌词\Last Reunion.txt,positive,0.9932,0.0067,4,2,1
65,NJU Documents\抖音数据分析ppt\歌词\Lego House (Live).txt,negative,0.5,0.5,0,0,0
66,NJU Documents\抖音数据分析ppt\歌词\Lego House.txt,positive,0.6577,0.3422,1,1,0
67,NJU Documents\抖音数据分析ppt\歌词\Lollipop (Karaoke Version).txt,positive,0.9932,0.0067,4,2,1
68,"NJU Documents\抖音数据分析ppt\歌词\Luv(sic.), Pt. 3.txt",negative,0.5,0.5,0,0,0
69,NJU Documents\抖音数据分析ppt\歌词\May I See U Again (DJ叮当版).txt,positive,0.7693,0.2306,0,1,0
70,NJU Documents\抖音数据分析ppt\歌词\Memories(Bring Back You)[Originally Performed by Maroon 5].txt,positive,0.9932,0.0067,4,2,1
71,NJU Documents\抖音数据分析ppt\歌词\Memories.txt,positive,0.8518,0.1481,0,1,0
72,NJU Documents\抖音数据分析ppt\歌词\Micmacs à la gare.txt,positive,0.9932,0.0067,4,2,1
73,NJU Documents\抖音数据分析ppt\歌词\Mojito (片段).txt,positive,0.9999,2.1738,64,46,8
74,NJU Documents\抖音数据分析ppt\歌词\Mojito.txt,positive,0.9999,2.1738,64,46,8
75,NJU Documents\抖音数据分析ppt\歌词\My Love.txt,negative,0.0967,0.9032,1,1,0
76,NJU Documents\抖音数据分析ppt\歌词\My Sunset (Original Mix).txt,positive,0.9932,0.0067,4,2,1
77,NJU Documents\抖音数据分析ppt\歌词\My Sunset.txt,positive,0.9932,0.0067,4,2,1
78,NJU Documents\抖音数据分析ppt\歌词\Nevada.txt,negative,0.5,0.5,0,0,0
79,NJU Documents\抖音数据分析ppt\歌词\Never Say Good Bye (绝不说再见).txt,positive,0.6310,0.3689,2,1,0
80,NJU Documents\抖音数据分析ppt\歌词\Never Say Good Bye.txt,positive,0.6147,0.3852,0,1,0
81,NJU Documents\抖音数据分析ppt\歌词\Okamochi & Jersey.txt,positive,0.9932,0.0067,4,2,1
82,NJU Documents\抖音数据分析ppt\歌词\Old Threads.txt,positive,0.9932,0.0067,4,2,1
83,NJU Documents\抖音数据分析ppt\歌词\On a Slow Boat to China.txt,positive,0.9922,0.0077,0,1,1
84,NJU Documents\抖音数据分析ppt\歌词\Oops.txt,positive,0.9614,0.0385,0,0,0
85,NJU Documents\抖音数据分析ppt\歌词\Paris.txt,positive,0.9932,0.0067,4,2,1
86,NJU Documents\抖音数据分析ppt\歌词\Party Train (Remix).txt,negative,0.3532,0.6467,1,1,0
87,NJU Documents\抖音数据分析ppt\歌词\Party Train.txt,negative,0.5,0.5,0,0,0
88,NJU Documents\抖音数据分析ppt\歌词\Pop It In 2.txt,negative,0.5,0.5,0,0,0
89,NJU Documents\抖音数据分析ppt\歌词\Pump.txt,positive,0.9548,0.0451,4,2,1
90,NJU Documents\抖音数据分析ppt\歌词\Rende.txt,positive,0.6883,0.3116,0,1,0
