,Unnamed: 0,Unnamed: 0.1,bgm,emotion,bpm,genre,language,public_time,mood,match,like_time,unlike_time
0,0,0,88rising、Phum Viphurit、Higher Brothers - Lover Boy 88,happy,,Pop,英语,2018-07-20,,1,0,0
1,1,1,Austin Mahone、Rich Homie Quan - Send It,happy,,Pop,英语,2016-08-19,,1,0,0
2,2,2,Ayo97 _ 周思涵 - 感谢你曾来过,happy,,Pop,国语,2017-02-12,,1,0,0
3,3,3,Beatrich - Superstar,happy,,Dance,英语,2017-07-21,,1,0,0
4,4,4,BEYOND - 不再犹豫,happy,,Pop,粤语,2015-06-30,,1,0,0
5,5,5,BEYOND - 情人,happy,,Pop,粤语,2001-12-01,,1,0,0
6,6,6,BEYOND - 海阔天空,happy,,Pop,粤语,1993-05-01,,1,0,0
7,7,7,BEYOND - 真的爱你,happy,,Rock,粤语,1989-07-01,,1,0,0
8,8,8,BigYear - 看好你的女友,happy,,Pop,国语,2018-12-30,,1,0,0
9,9,9,BY2 - 爱丫爱丫,happy,,Pop,国语,2008-07-23,,1,0,0
10,10,10,Camila Cabello、Young Thug - Havana,happy,,Pop,英语,2018-01-12,,1,0,0
11,11,11,DD打D哒 - 哈尼宝贝（纯净版Remix_DD打D哒 Remix）,happy,,,,,,1,0,0
12,12,12,DJ小鱼儿 - 一生回味一面,happy,,Pop,国语,2020-03-13,,1,0,0
13,13,13,Ed Sheeran - Shape of You,happy,,Pop,英语,2017-03-03,,1,0,0
14,14,14,Fitz & The Tantrums - HandClap,happy,,Alternative,英语,2016-06-03,,1,0,0
15,15,15,Freedom Plant Music - Colorful World,happy,,Pop,国语,2015-10-20,,1,0,0
16,16,16,G.E.M.邓紫棋 - 我的秘密,happy,,Pop,国语,2010-10-29,,1,0,0
17,17,17,Gibb-Z - My hot girl,happy,,Pop,国语,2016-08-09,,1,0,0
18,18,18,Gibb-Z、ICE - 陪着你走,happy,,Pop,国语,2017-08-10,,1,0,0
19,19,19,Groove Coverage - She (Radio Edit),happy,,Dance,英语,2008-03-15,,1,0,0
20,20,20,Ice Paper - 心如止水,happy,,Pop,国语,2019-04-18,,1,0,0
21,21,21,I·D·C - 想对你说情话,happy,,Rap/HipHop,国语,2018-08-30,,1,0,0
22,22,22,i黄小依 - Shy,happy,,,,,,1,0,0
23,23,23,Jain - Lil Mama,happy,,Pop,英语,2015-11-06,,1,0,0
24,24,24,joysaaaa - 两点半,happy,,Pop,国语,2019-01-17,,1,0,0
25,25,25,KT、Chiu Chiu - 7538 (Me U-Remix),happy,,,,,,1,0,0
26,26,26,Leessang (리쌍) _ Ali (알리) - 내가 웃는게 아니야 (我不是在笑),happy,,Rap/HipHop,韩语,2005-10-13,,1,0,0
27,27,27,Lil Ghost小鬼 - GOOD NIGHT,happy,,Rap/HipHop,国语,2018-03-02,,1,0,0
28,28,28,Little Mix _ Charlie Puth - Oops,happy,,Pop,英语,2016-11-18,,1,0,0
29,29,29,Mark Ronson _ Bruno Mars - Uptown Funk,happy,,Pop,英语,2015-04-13,,1,0,0
30,30,30,RADWIMPS - 夢灯籠,happy,,Soundtrack,日语,2016-08-24,,1,0,0
31,31,31,S.H.E - 恋人未满,happy,,R&B,国语,2001-09-11,,1,0,0
