,filename,mood,positive_rate,negative_rate,verb,noun,adjective
0,NJU Documents\抖音数据分析ppt\音乐数据库歌词\4円 ヨエン - アイロニ 反语.txt,negative,0.0550,0.9449,1,4,0
1,NJU Documents\抖音数据分析ppt\音乐数据库歌词\6诗人 - 卡布奇诺.txt,negative,0.0550,0.9449,1,4,0
2,NJU Documents\抖音数据分析ppt\音乐数据库歌词\88rising、Phum Viphurit、Higher Brothers - Lover Boy 88.txt,positive,0.9823,0.0176,0,3,0
3,NJU Documents\抖音数据分析ppt\音乐数据库歌词\911 - I Do.txt,positive,0.9321,0.0679,44,35,9
4,NJU Documents\抖音数据分析ppt\音乐数据库歌词\A-Lin - 有一种悲伤.txt,negative,0.0550,0.9449,1,4,0
5,NJU Documents\抖音数据分析ppt\音乐数据库歌词\AaronicStuff - Take a Walk [A Cappella].txt,positive,0.9321,0.0679,44,35,9
6,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Adam Lambert - Trespassing.txt,positive,0.8758,0.1241,1,0,0
7,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Adelén - Spell On Me.txt,negative,0.5,0.5,0,0,0
8,NJU Documents\抖音数据分析ppt\音乐数据库歌词\AGA - Wonderful U Demo.txt,negative,0.0550,0.9449,1,4,0
9,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Alan Walker - Alone.txt,negative,0.0550,0.9449,1,4,0
10,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Alan Walker _ Iselin Solheim - Faded.txt,negative,0.0550,0.9449,1,4,0
11,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Alan Walker _ Noah Cyrus _ Digital Farm Animals _ Juliander - All Falls Down.txt,negative,0.0550,0.9449,1,4,0
12,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Alina Baraz _ filous _ Khalid - Floatingfeat. Khalid filous Remix.txt,negative,0.5,0.5,0,0,0
13,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Approaching Nirvana - You.txt,negative,0.0550,0.9449,1,4,0
14,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Armin Van Buuren _ Mr.Probz - Another You.txt,negative,0.5,0.5,0,0,0
15,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Armin Van Buuren _ Roxanne Emery - On Fire Radio Edit.txt,negative,0.5,0.5,0,0,0
16,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Austin Mahone _ Rich Homie Quan - Send It.txt,negative,0.0550,0.9449,1,4,0
17,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Austin Mahone、Rich Homie Quan - Send It.txt,positive,0.9823,0.0176,0,3,0
18,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Ava Max - Sweet but Psycho.txt,negative,0.5,0.5,0,0,0
19,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Avicii _ Rita Ora - Lonely Together.txt,negative,0.5,0.5,0,0,0
20,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Avril Lavigne - Girlfriend.txt,negative,0.5,0.5,0,0,0
21,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Axel Johansson - Do Or Die.txt,negative,0.5,0.5,0,0,0
22,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Ayo97 _ 周思涵 - 感谢你曾来过.txt,negative,0.0550,0.9449,1,4,0
23,NJU Documents\抖音数据分析ppt\音乐数据库歌词\Bazzi - Myself.txt,negative,0.0550,0.9449,1,4,0
